year,region_code,business_type,sector_type,small business,large business
1999,DR01,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,2641.0,51.0
1999,DR01,Mining & Oil & Gas Extract.,Services-Producing Sector,109.0,5.0
1999,DR01,Utilities,Services-Producing Sector,30.0,4.0
1999,DR01,Construction,Services-Producing Sector,6795.0,35.0
1999,DR01,Manufacturing,Services-Producing Sector,1914.0,68.0
1999,DR01,Wholesale Trade,Goods-Producing Sector,1738.0,14.0
1999,DR01,Retail Trade,Goods-Producing Sector,4999.0,121.0
1999,DR01,Transp. & Warehousing,Goods-Producing Sector,1801.0,27.0
1999,DR01,Information & Cultural Indust.,Goods-Producing Sector,428.0,13.0
1999,DR01,Finance & Insurance,Goods-Producing Sector,1818.0,35.0
1999,DR01,Real Estate & Rental & Leasing,Goods-Producing Sector,3950.0,17.0
1999,DR01,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,5231.0,23.0
1999,DR01,Mgmt. of Companies & Enter.,Goods-Producing Sector,1304.0,11.0
1999,DR01,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,1994.0,30.0
1999,DR01,Educational Services,Goods-Producing Sector,397.0,34.0
1999,DR01,Health Care & Social Assistance,Goods-Producing Sector,2950.0,103.0
1999,DR01,"Arts, Entertainment & Recreation",Goods-Producing Sector,812.0,18.0
1999,DR01,Accom. & Food Services,Goods-Producing Sector,2637.0,146.0
1999,DR01,Other Serv's (ex. Public Admin.),Goods-Producing Sector,3235.0,14.0
1999,DR01,Public Administration,Goods-Producing Sector,174.0,51.0
1999,DR02,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,4885.0,91.0
1999,DR02,Mining & Oil & Gas Extract.,Services-Producing Sector,923.0,20.0
1999,DR02,Utilities,Services-Producing Sector,95.0,13.0
1999,DR02,Construction,Services-Producing Sector,22236.0,211.0
1999,DR02,Manufacturing,Services-Producing Sector,8170.0,468.0
1999,DR02,Wholesale Trade,Goods-Producing Sector,12395.0,202.0
1999,DR02,Retail Trade,Goods-Producing Sector,14602.0,375.0
1999,DR02,Transp. & Warehousing,Goods-Producing Sector,7436.0,175.0
1999,DR02,Information & Cultural Indust.,Goods-Producing Sector,2714.0,112.0
1999,DR02,Finance & Insurance,Goods-Producing Sector,9841.0,185.0
1999,DR02,Real Estate & Rental & Leasing,Goods-Producing Sector,17093.0,129.0
1999,DR02,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,22729.0,269.0
1999,DR02,Mgmt. of Companies & Enter.,Goods-Producing Sector,6219.0,113.0
1999,DR02,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,8096.0,189.0
1999,DR02,Educational Services,Goods-Producing Sector,1504.0,71.0
1999,DR02,Health Care & Social Assistance,Goods-Producing Sector,7694.0,267.0
1999,DR02,"Arts, Entertainment & Recreation",Goods-Producing Sector,2695.0,116.0
1999,DR02,Accom. & Food Services,Goods-Producing Sector,7687.0,556.0
1999,DR02,Other Serv's (ex. Public Admin.),Goods-Producing Sector,10700.0,107.0
1999,DR02,Public Administration,Goods-Producing Sector,163.0,82.0
1999,DR03,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,3271.0,23.0
1999,DR03,Mining & Oil & Gas Extract.,Services-Producing Sector,162.0,4.0
1999,DR03,Utilities,Services-Producing Sector,64.0,3.0
1999,DR03,Construction,Services-Producing Sector,5462.0,37.0
1999,DR03,Manufacturing,Services-Producing Sector,1578.0,77.0
1999,DR03,Wholesale Trade,Goods-Producing Sector,1599.0,10.0
1999,DR03,Retail Trade,Goods-Producing Sector,3617.0,72.0
1999,DR03,Transp. & Warehousing,Goods-Producing Sector,1596.0,20.0
1999,DR03,Information & Cultural Indust.,Goods-Producing Sector,252.0,8.0
1999,DR03,Finance & Insurance,Goods-Producing Sector,1422.0,16.0
1999,DR03,Real Estate & Rental & Leasing,Goods-Producing Sector,2885.0,13.0
1999,DR03,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,2685.0,7.0
1999,DR03,Mgmt. of Companies & Enter.,Goods-Producing Sector,1052.0,17.0
1999,DR03,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,1423.0,8.0
1999,DR03,Educational Services,Goods-Producing Sector,229.0,26.0
1999,DR03,Health Care & Social Assistance,Goods-Producing Sector,1688.0,66.0
1999,DR03,"Arts, Entertainment & Recreation",Goods-Producing Sector,566.0,17.0
1999,DR03,Accom. & Food Services,Goods-Producing Sector,2103.0,104.0
1999,DR03,Other Serv's (ex. Public Admin.),Goods-Producing Sector,2468.0,8.0
1999,DR03,Public Administration,Goods-Producing Sector,145.0,16.0
1999,DR04,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,931.0,12.0
1999,DR04,Mining & Oil & Gas Extract.,Services-Producing Sector,57.0,6.0
1999,DR04,Utilities,Services-Producing Sector,26.0,1.0
1999,DR04,Construction,Services-Producing Sector,1417.0,7.0
1999,DR04,Manufacturing,Services-Producing Sector,437.0,22.0
1999,DR04,Wholesale Trade,Goods-Producing Sector,374.0,3.0
1999,DR04,Retail Trade,Goods-Producing Sector,1252.0,18.0
1999,DR04,Transp. & Warehousing,Goods-Producing Sector,498.0,1.0
1999,DR04,Information & Cultural Indust.,Goods-Producing Sector,99.0,1.0
1999,DR04,Finance & Insurance,Goods-Producing Sector,276.0,5.0
1999,DR04,Real Estate & Rental & Leasing,Goods-Producing Sector,670.0,1.0
1999,DR04,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,730.0,1.0
1999,DR04,Mgmt. of Companies & Enter.,Goods-Producing Sector,191.0,2.0
1999,DR04,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,377.0,2.0
1999,DR04,Educational Services,Goods-Producing Sector,75.0,14.0
1999,DR04,Health Care & Social Assistance,Goods-Producing Sector,490.0,40.0
1999,DR04,"Arts, Entertainment & Recreation",Goods-Producing Sector,239.0,12.0
1999,DR04,Accom. & Food Services,Goods-Producing Sector,791.0,20.0
1999,DR04,Other Serv's (ex. Public Admin.),Goods-Producing Sector,826.0,0.0
1999,DR04,Public Administration,Goods-Producing Sector,79.0,11.0
1999,DR05,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,2029.0,22.0
1999,DR05,Mining & Oil & Gas Extract.,Services-Producing Sector,29.0,2.0
1999,DR05,Utilities,Services-Producing Sector,14.0,0.0
1999,DR05,Construction,Services-Producing Sector,1778.0,19.0
1999,DR05,Manufacturing,Services-Producing Sector,473.0,49.0
1999,DR05,Wholesale Trade,Goods-Producing Sector,445.0,4.0
1999,DR05,Retail Trade,Goods-Producing Sector,1121.0,31.0
1999,DR05,Transp. & Warehousing,Goods-Producing Sector,1110.0,9.0
1999,DR05,Information & Cultural Indust.,Goods-Producing Sector,78.0,4.0
1999,DR05,Finance & Insurance,Goods-Producing Sector,303.0,8.0
1999,DR05,Real Estate & Rental & Leasing,Goods-Producing Sector,863.0,3.0
1999,DR05,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,814.0,7.0
1999,DR05,Mgmt. of Companies & Enter.,Goods-Producing Sector,251.0,4.0
1999,DR05,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,417.0,4.0
1999,DR05,Educational Services,Goods-Producing Sector,66.0,5.0
1999,DR05,Health Care & Social Assistance,Goods-Producing Sector,511.0,18.0
1999,DR05,"Arts, Entertainment & Recreation",Goods-Producing Sector,157.0,4.0
1999,DR05,Accom. & Food Services,Goods-Producing Sector,665.0,32.0
1999,DR05,Other Serv's (ex. Public Admin.),Goods-Producing Sector,947.0,1.0
1999,DR05,Public Administration,Goods-Producing Sector,43.0,7.0
1999,DR06,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,706.0,6.0
1999,DR06,Mining & Oil & Gas Extract.,Services-Producing Sector,8.0,1.0
1999,DR06,Utilities,Services-Producing Sector,7.0,2.0
1999,DR06,Construction,Services-Producing Sector,491.0,2.0
1999,DR06,Manufacturing,Services-Producing Sector,125.0,13.0
1999,DR06,Wholesale Trade,Goods-Producing Sector,141.0,0.0
1999,DR06,Retail Trade,Goods-Producing Sector,419.0,16.0
1999,DR06,Transp. & Warehousing,Goods-Producing Sector,327.0,6.0
1999,DR06,Information & Cultural Indust.,Goods-Producing Sector,28.0,3.0
1999,DR06,Finance & Insurance,Goods-Producing Sector,95.0,3.0
1999,DR06,Real Estate & Rental & Leasing,Goods-Producing Sector,222.0,1.0
1999,DR06,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,224.0,2.0
1999,DR06,Mgmt. of Companies & Enter.,Goods-Producing Sector,54.0,1.0
1999,DR06,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,168.0,0.0
1999,DR06,Educational Services,Goods-Producing Sector,23.0,7.0
1999,DR06,Health Care & Social Assistance,Goods-Producing Sector,188.0,11.0
1999,DR06,"Arts, Entertainment & Recreation",Goods-Producing Sector,71.0,0.0
1999,DR06,Accom. & Food Services,Goods-Producing Sector,245.0,8.0
1999,DR06,Other Serv's (ex. Public Admin.),Goods-Producing Sector,287.0,0.0
1999,DR06,Public Administration,Goods-Producing Sector,35.0,9.0
1999,DR07,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,937.0,8.0
1999,DR07,Mining & Oil & Gas Extract.,Services-Producing Sector,29.0,2.0
1999,DR07,Utilities,Services-Producing Sector,5.0,0.0
1999,DR07,Construction,Services-Producing Sector,478.0,2.0
1999,DR07,Manufacturing,Services-Producing Sector,128.0,19.0
1999,DR07,Wholesale Trade,Goods-Producing Sector,107.0,0.0
1999,DR07,Retail Trade,Goods-Producing Sector,346.0,4.0
1999,DR07,Transp. & Warehousing,Goods-Producing Sector,318.0,2.0
1999,DR07,Information & Cultural Indust.,Goods-Producing Sector,29.0,0.0
1999,DR07,Finance & Insurance,Goods-Producing Sector,69.0,1.0
1999,DR07,Real Estate & Rental & Leasing,Goods-Producing Sector,184.0,0.0
1999,DR07,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,194.0,1.0
1999,DR07,Mgmt. of Companies & Enter.,Goods-Producing Sector,52.0,3.0
1999,DR07,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,106.0,0.0
1999,DR07,Educational Services,Goods-Producing Sector,30.0,4.0
1999,DR07,Health Care & Social Assistance,Goods-Producing Sector,102.0,8.0
1999,DR07,"Arts, Entertainment & Recreation",Goods-Producing Sector,66.0,1.0
1999,DR07,Accom. & Food Services,Goods-Producing Sector,228.0,4.0
1999,DR07,Other Serv's (ex. Public Admin.),Goods-Producing Sector,265.0,0.0
1999,DR07,Public Administration,Goods-Producing Sector,26.0,2.0
1999,DR08,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,1011.0,2.0
1999,DR08,Mining & Oil & Gas Extract.,Services-Producing Sector,380.0,8.0
1999,DR08,Utilities,Services-Producing Sector,13.0,0.0
1999,DR08,Construction,Services-Producing Sector,764.0,14.0
1999,DR08,Manufacturing,Services-Producing Sector,169.0,11.0
1999,DR08,Wholesale Trade,Goods-Producing Sector,216.0,0.0
1999,DR08,Retail Trade,Goods-Producing Sector,440.0,8.0
1999,DR08,Transp. & Warehousing,Goods-Producing Sector,616.0,5.0
1999,DR08,Information & Cultural Indust.,Goods-Producing Sector,37.0,0.0
1999,DR08,Finance & Insurance,Goods-Producing Sector,108.0,4.0
1999,DR08,Real Estate & Rental & Leasing,Goods-Producing Sector,284.0,0.0
1999,DR08,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,368.0,0.0
1999,DR08,Mgmt. of Companies & Enter.,Goods-Producing Sector,67.0,0.0
1999,DR08,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,216.0,1.0
1999,DR08,Educational Services,Goods-Producing Sector,30.0,4.0
1999,DR08,Health Care & Social Assistance,Goods-Producing Sector,179.0,12.0
1999,DR08,"Arts, Entertainment & Recreation",Goods-Producing Sector,74.0,0.0
1999,DR08,Accom. & Food Services,Goods-Producing Sector,280.0,13.0
1999,DR08,Other Serv's (ex. Public Admin.),Goods-Producing Sector,569.0,1.0
1999,DR08,Public Administration,Goods-Producing Sector,11.0,5.0
2000,DR01,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,2620.0,55.0
2000,DR01,Mining & Oil & Gas Extract.,Services-Producing Sector,108.0,6.0
2000,DR01,Utilities,Services-Producing Sector,30.0,4.0
2000,DR01,Construction,Services-Producing Sector,6626.0,41.0
2000,DR01,Manufacturing,Services-Producing Sector,1856.0,94.0
2000,DR01,Wholesale Trade,Goods-Producing Sector,1718.0,29.0
2000,DR01,Retail Trade,Goods-Producing Sector,4807.0,148.0
2000,DR01,Transp. & Warehousing,Goods-Producing Sector,1799.0,36.0
2000,DR01,Information & Cultural Indust.,Goods-Producing Sector,417.0,16.0
2000,DR01,Finance & Insurance,Goods-Producing Sector,1821.0,42.0
2000,DR01,Real Estate & Rental & Leasing,Goods-Producing Sector,4031.0,29.0
2000,DR01,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,5445.0,29.0
2000,DR01,Mgmt. of Companies & Enter.,Goods-Producing Sector,1545.0,15.0
2000,DR01,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,1974.0,32.0
2000,DR01,Educational Services,Goods-Producing Sector,415.0,35.0
2000,DR01,Health Care & Social Assistance,Goods-Producing Sector,2947.0,117.0
2000,DR01,"Arts, Entertainment & Recreation",Goods-Producing Sector,811.0,20.0
2000,DR01,Accom. & Food Services,Goods-Producing Sector,2540.0,187.0
2000,DR01,Other Serv's (ex. Public Admin.),Goods-Producing Sector,3267.0,24.0
2000,DR01,Public Administration,Goods-Producing Sector,168.0,51.0
2000,DR02,"Agric., Forestry, Fishing & Hunt",Services-Producing Sector,4955.0,94.0
2000,DR02,Mining & Oil & Gas Extract.,Services-Producing Sector,844.0,22.0
2000,DR02,Utilities,Services-Producing Sector,89.0,14.0
2000,DR02,Construction,Services-Producing Sector,21421.0,318.0
2000,DR02,Manufacturing,Services-Producing Sector,7783.0,661.0
2000,DR02,Wholesale Trade,Goods-Producing Sector,12006.0,342.0
2000,DR02,Retail Trade,Goods-Producing Sector,14116.0,510.0
2000,DR02,Transp. & Warehousing,Goods-Producing Sector,7492.0,202.0
2000,DR02,Information & Cultural Indust.,Goods-Producing Sector,2968.0,144.0
2000,DR02,Finance & Insurance,Goods-Producing Sector,9746.0,199.0
2000,DR02,Real Estate & Rental & Leasing,Goods-Producing Sector,17644.0,173.0
2000,DR02,"Profes'nl, Scientif. & Tech. Srv",Goods-Producing Sector,23531.0,340.0
2000,DR02,Mgmt. of Companies & Enter.,Goods-Producing Sector,7292.0,121.0
2000,DR02,"Admin. & Sup'rt, Waste Mgmt.",Goods-Producing Sector,8055.0,221.0
2000,DR02,Educational Services,Goods-Producing Sector,1513.0,98.0
