year,region_code,business_type,sector_type,cluster_type,small business,large business
1999,DR01,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,2641.0,51.0
1999,DR01,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,109.0,5.0
1999,DR01,Utilities,Services-Producing Sector,cluster2,30.0,4.0
1999,DR01,Construction,Services-Producing Sector,cluster1,6795.0,35.0
1999,DR01,Manufacturing,Services-Producing Sector,cluster2,1914.0,68.0
1999,DR01,Wholesale Trade,Goods-Producing Sector,cluster2,1738.0,14.0
1999,DR01,Retail Trade,Goods-Producing Sector,cluster1,4999.0,121.0
1999,DR01,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,1801.0,27.0
1999,DR01,Information & Cultural Industries,Goods-Producing Sector,cluster1,428.0,13.0
1999,DR01,Finance & Insurance,Goods-Producing Sector,cluster1,1818.0,35.0
1999,DR01,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,3950.0,17.0
1999,DR01,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,5231.0,23.0
1999,DR01,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,1304.0,11.0
1999,DR01,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,1994.0,30.0
1999,DR01,Educational Services,Goods-Producing Sector,cluster1,397.0,34.0
1999,DR01,Health Care & Social Assistance,Goods-Producing Sector,cluster1,2950.0,103.0
1999,DR01,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,812.0,18.0
1999,DR01,Accommodation & Food Services,Goods-Producing Sector,cluster2,2637.0,146.0
1999,DR01,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,3235.0,14.0
1999,DR01,Public Administration,Goods-Producing Sector,cluster1,174.0,51.0
1999,DR02,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,4885.0,91.0
1999,DR02,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,923.0,20.0
1999,DR02,Utilities,Services-Producing Sector,cluster2,95.0,13.0
1999,DR02,Construction,Services-Producing Sector,cluster1,22236.0,211.0
1999,DR02,Manufacturing,Services-Producing Sector,cluster2,8170.0,468.0
1999,DR02,Wholesale Trade,Goods-Producing Sector,cluster2,12395.0,202.0
1999,DR02,Retail Trade,Goods-Producing Sector,cluster1,14602.0,375.0
1999,DR02,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,7436.0,175.0
1999,DR02,Information & Cultural Industries,Goods-Producing Sector,cluster1,2714.0,112.0
1999,DR02,Finance & Insurance,Goods-Producing Sector,cluster1,9841.0,185.0
1999,DR02,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,17093.0,129.0
1999,DR02,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,22729.0,269.0
1999,DR02,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,6219.0,113.0
1999,DR02,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,8096.0,189.0
1999,DR02,Educational Services,Goods-Producing Sector,cluster1,1504.0,71.0
1999,DR02,Health Care & Social Assistance,Goods-Producing Sector,cluster1,7694.0,267.0
1999,DR02,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,2695.0,116.0
1999,DR02,Accommodation & Food Services,Goods-Producing Sector,cluster2,7687.0,556.0
1999,DR02,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,10700.0,107.0
1999,DR02,Public Administration,Goods-Producing Sector,cluster1,163.0,82.0
